Name,License Number,Address,Start of Validity,End of Validity,Latitude,Longitude
Dohány-Palota Bt,DKE1600000039,1152 Budapest 15. ker. Öregfalusi utca 2.,2013.07.01,2033.06.30,47.5642192,19.1209095
DOHÁNYÁRUDA Bt.,DKE1010000318,"1117 Budapest, Fehérvári út 24.",2024.08.05,2033.06.30,47.4737385,19.0465698
Domino Tabak Bt,DKE1600000092,1173 Budapest 17. ker. Pesti út 237/H.,2013.07.01,2033.06.30,47.4726751,19.2745993
Domino Tabak Bt,DKE1600000211,1161 Budapest 16. ker. János utca 196.,2013.07.01,2033.06.30,47.5340738,19.1599909
Domonkos Eszter Judit,DKE1600000110,1105 Budapest 10. ker. Gergely utca 2.,2013.07.01,2033.06.30,47.4803774,19.1342996
Domonkos László István,DKE1700000174,"1027 Budapest, Csalogány utca 55.",2024.10.18,2033.06.30,47.5083678,19.0282555
Domonkos Péter Pál,DKE1600000056,1104 Budapest 10. ker. Mádi utca 84.,2013.07.01,2033.06.30,47.4824431,19.1509589
Donászy Péter,DKE1600000148,1065 Budapest 06. ker. Nagymező utca 21.,2013.07.01,2033.06.30,47.5043038,19.0593386
Dopi Cigi Bt,DKE1700000164,1138 Budapest 13. ker. Váci út 187.,2013.07.01,2033.06.30,47.555377,19.0762014
Dopi Cigi Bt,DKE1700000165,1138 Budapest 13. ker. Népfürdő utca 15/A,2013.07.01,2033.06.30,47.529804,19.0588243
Dorkó Zsolt,DKE1600000322,1165 Budapest 16. ker. Veres Péter út 114.,2015.02.03,2034.10.30,47.5118517,19.1934083
Dostal Józsefné,DKE8110000147,"2040 Budaörs, Budapesti út 124.",2024.06.27,2033.06.30,47.462781,18.9798954
Dr. Guzmics Tibor,DKE1600000060,1171 Budapest 17. ker. Péceli út 207-209.,2013.07.01,2033.06.30,47.4878607,19.2876588
Drexler Tobacco Bt,DKE1010000103,1203 Budapest 20. ker. Ady Endre utca 68-70.,2013.07.01,2033.06.30,47.4400428,19.1023793
Drexler Tobacco Bt,DKE1010000105,1195 Budapest 19. ker. Ady Endre - Arany János utca sarka,2013.07.01,2033.06.30,,
Dudus Trafik Bt.,DKE1010000066,"1112 Budapest, Vőfély utca 1.",2015.09.16,2033.06.30,47.4615001,19.0150503
Dudus Trafik Bt.,DKE1010000069,1113 Budapest 11. ker. Bocskai   44.,2013.07.01,2033.06.30,47.4759614,19.0369197
Dukhan Team Bt.,DKE1600000272,"1071 Budapest, Damjanich utca 58.",2022.09.01,2033.06.30,47.5096493,19.0819096
Dukhan Team Bt.,DKE1600000273,"1077 Budapest, Dózsa György utca 54.",2022.09.01,2033.06.30,47.5888656,19.0440345
